YearMonth,ProductCategory,CashWagers_M,NAGGR_M,WagerShare,GGRShare
2024-03,CASINO,1073,42.1,0.7,0.73
2024-03,SPORTS,383,18.5,0.25,0.32
2024-03,POKER,77,1.2,0.05,0.02
2024-04,CASINO,1064,49.9,0.69,0.72
2024-04,SPORTS,401,20.1,0.26,0.29
2024-04,POKER,77,6.2,0.05,0.09
2024-05,CASINO,1107,42.8,0.69,0.68
2024-05,SPORTS,417,17.0,0.26,0.27
2024-05,POKER,80,1.9,0.05,0.03
2024-06,CASINO,1083,45.3,0.67,0.69
2024-06,SPORTS,436,20.3,0.27,0.31
2024-06,POKER,97,3.3,0.06,0.05
2024-07,CASINO,1090,45.4,0.66,0.67
2024-07,SPORTS,462,21.0,0.28,0.31
2024-07,POKER,99,5.4,0.06,0.08
2024-08,CASINO,1030,42.1,0.65,0.63
2024-08,SPORTS,459,22.0,0.29,0.33
2024-08,POKER,95,4.7,0.06,0.07
2024-09,CASINO,1024,39.2,0.63,0.63
2024-09,SPORTS,488,18.7,0.3,0.3
2024-09,POKER,114,5.6,0.07,0.09
2024-10,CASINO,1026,39.9,0.63,0.66
2024-10,SPORTS,489,15.7,0.3,0.26
2024-10,POKER,114,2.4,0.07,0.04
2024-11,CASINO,1052,37.5,0.62,0.57
2024-11,SPORTS,526,21.1,0.31,0.32
2024-11,POKER,119,5.3,0.07,0.08
2024-12,CASINO,1084,40.7,0.62,0.61
2024-12,SPORTS,542,18.7,0.31,0.28
2024-12,POKER,122,7.3,0.07,0.11
2025-01,CASINO,1217,54.3,0.63,0.68
2025-01,SPORTS,579,28.0,0.3,0.35
2025-01,POKER,135,5.6,0.07,0.07
2025-02,CASINO,1158,45.8,0.63,0.63
2025-02,SPORTS,551,21.8,0.3,0.3
2025-02,POKER,129,5.1,0.07,0.07
2025-03,CASINO,1328,49.5,0.65,0.61
2025-03,SPORTS,592,21.9,0.29,0.27
2025-03,POKER,123,6.5,0.06,0.08
2025-04,CASINO,1288,50.8,0.66,0.66
2025-04,SPORTS,546,20.8,0.28,0.27
2025-04,POKER,117,3.8,0.06,0.05
2025-05,CASINO,1279,58.7,0.67,0.72
2025-05,SPORTS,515,25.3,0.27,0.31
2025-05,POKER,115,7.3,0.06,0.09
2025-06,CASINO,1416,53.7,0.69,0.7
2025-06,SPORTS,534,16.9,0.26,0.22
2025-06,POKER,103,4.6,0.05,0.06
2025-07,CASINO,1297,48.0,0.69,0.68
2025-07,SPORTS,489,19.8,0.26,0.28
2025-07,POKER,94,5.6,0.05,0.08
2025-08,CASINO,1286,52.0,0.7,0.68
2025-08,SPORTS,459,22.2,0.25,0.29
2025-08,POKER,92,3.8,0.05,0.05
2025-09,CASINO,1212,46.9,0.7,0.7
2025-09,SPORTS,433,15.4,0.25,0.23
2025-09,POKER,87,2.7,0.05,0.04
2025-10,CASINO,1154,46.2,0.69,0.69
2025-10,SPORTS,435,16.8,0.26,0.25
2025-10,POKER,84,2.7,0.05,0.04
2025-11,CASINO,1308,47.5,0.69,0.68
2025-11,SPORTS,493,22.3,0.26,0.32
2025-11,POKER,95,2.8,0.05,0.04
2025-12,CASINO,1212,48.8,0.67,0.69
2025-12,SPORTS,488,19.1,0.27,0.27
2025-12,POKER,109,1.4,0.06,0.02
2026-01,CASINO,1335,61.1,0.66,0.75
2026-01,SPORTS,566,22.8,0.28,0.28
2026-01,POKER,121,3.3,0.06,0.04
2026-02,CASINO,1414,52.6,0.65,0.69
2026-02,SPORTS,631,25.1,0.29,0.33
2026-02,POKER,130,3.0,0.06,0.04
2026-03,CASINO,1300,46.5,0.63,0.61
2026-03,SPORTS,619,20.6,0.3,0.27
2026-03,POKER,144,6.1,0.07,0.08
